time,d2w,d2w_range,d2w_ROC,d2w_spike,d2w_FlatLine,label
2018-12-16 20:55:00,1112.83,1,1,1,1,1
2018-12-16 21:00:00,1123.7866666666666,1,1,1,1,1
2018-12-16 21:05:00,1111.7724999999996,1,1,1,1,1
2018-12-16 21:10:00,1115.1540000000002,1,1,1,1,1
2018-12-16 21:15:00,1126.1919999999996,1,1,1,1,1
2018-12-16 21:20:00,1118.8159999999998,1,1,1,1,1
2018-12-16 21:25:00,1149.208,1,3,3,1,1
2018-12-16 21:30:00,1128.86,1,1,1,1,1
2018-12-16 21:35:00,1119.5319999999992,1,1,1,1,1
2018-12-16 21:40:00,1143.7679999999998,1,1,1,1,1
2018-12-16 21:45:00,1141.0000000000005,1,1,1,1,1
2018-12-16 21:50:00,1142.54,1,1,1,1,1
2018-12-16 21:55:00,1158.8840000000002,1,1,1,1,1
2018-12-16 22:00:00,1170.2720000000004,1,1,1,1,1
2018-12-16 22:05:00,1166.862,1,1,1,1,1
2018-12-16 22:10:00,1167.5360000000005,1,1,1,1,1
2018-12-16 22:15:00,1191.825833333334,1,1,1,1,1
2018-12-16 22:20:00,1192.3849999999995,1,1,1,1,1
2018-12-16 22:25:00,1196.782,1,1,1,1,1
2018-12-16 22:30:00,1202.8239999999996,1,1,1,1,1
2018-12-16 22:35:00,1204.1840000000004,1,1,1,1,1
2018-12-16 22:40:00,1212.3500000000004,1,1,1,1,1
2018-12-16 22:45:00,1222.614,1,1,1,1,1
2018-12-16 22:50:00,1233.7199999999996,1,1,1,1,1
2018-12-16 22:55:00,1243.2239999999995,1,1,1,1,1
2018-12-16 23:00:00,1247.0739999999996,1,1,1,1,1
2018-12-16 23:05:00,1249.1819999999998,1,1,1,1,1
2018-12-16 23:10:00,1251.855,1,1,1,1,1
2018-12-16 23:15:00,1265.264,1,1,1,1,1
2018-12-16 23:20:00,1278.8379999999995,1,1,1,1,1
2018-12-16 23:25:00,1283.368,1,1,1,1,1
2018-12-16 23:30:00,1277.5680000000002,1,1,1,1,1
2018-12-16 23:35:00,1306.0099999999998,1,3,1,1,1
2018-12-16 23:40:00,1307.7460000000005,1,1,1,1,1
2018-12-16 23:45:00,1324.694,1,1,1,1,1
2018-12-16 23:50:00,1326.6,1,1,1,1,1
2018-12-16 23:55:00,1338.1300000000006,1,1,1,1,1
2018-12-17 00:00:00,1346.2500000000002,1,1,1,1,1
2018-12-17 00:05:00,1355.1700000000005,1,1,1,1,1
2018-12-17 00:10:00,1359.8020000000001,1,1,1,1,1
2018-12-17 00:15:00,1363.7540000000004,1,1,1,1,1
2018-12-17 00:20:00,1359.5540000000005,1,1,1,1,1
2018-12-17 00:25:00,1365.386,1,1,1,1,1
2018-12-17 00:30:00,1373.4779999999996,1,1,1,1,1
2018-12-17 00:35:00,1373.118,1,1,1,1,1
2018-12-17 00:40:00,1374.9280000000006,1,1,1,1,1
2018-12-17 00:45:00,1372.5416666666665,1,1,1,1,1
2018-12-17 00:50:00,1388.5699999999995,1,1,1,1,1
2018-12-17 00:55:00,1391.7439999999995,1,1,1,1,1
2018-12-17 01:00:00,1397.8639999999994,1,1,1,1,1
2018-12-17 01:05:00,1404.1140000000007,1,1,1,1,1
2018-12-17 01:10:00,1412.6647826086958,1,1,1,1,1
2018-12-17 01:15:00,1416.8320833333335,1,1,1,1,1
2018-12-17 01:20:00,1412.0739999999994,1,1,1,1,1
2018-12-17 01:25:00,1416.252916666666,1,1,1,1,1
2018-12-17 01:30:00,1416.2200000000007,1,1,1,1,1
2018-12-17 01:35:00,1416.134166666667,1,1,1,1,1
2018-12-17 01:40:00,1422.7478260869568,1,1,1,1,1
2018-12-17 01:45:00,1418.3,1,1,1,1,1
2018-12-17 01:50:00,1415.2159999999994,1,1,1,1,1
2018-12-17 01:55:00,1414.6259999999993,1,1,1,1,1
2018-12-17 02:00:00,1415.1034782608695,1,1,1,1,1
2018-12-17 02:05:00,1412.053333333333,1,1,1,1,1
2018-12-17 02:10:00,1413.5966666666666,1,1,1,1,1
2018-12-17 02:15:00,1422.0825000000002,1,1,1,1,1
2018-12-17 02:20:00,1417.5472727272727,1,1,1,1,1
2018-12-17 02:25:00,1414.6490909090915,1,1,1,1,1
2018-12-17 02:30:00,1416.625,1,1,1,1,1
2018-12-17 02:35:00,1427.9999999999998,1,1,1,1,1
2018-12-17 02:40:00,1425.8533333333328,1,1,1,1,1
2018-12-17 02:45:00,1418.9625,1,1,1,1,1
2018-12-17 02:50:00,1427.924166666667,1,1,1,1,1
2018-12-17 02:55:00,1437.6896153846158,1,1,1,1,1
2018-12-17 03:00:00,1424.690689655172,1,1,1,1,1
2018-12-17 03:05:00,1424.6800000000005,1,1,1,1,1
2018-12-17 03:10:00,1419.6140000000007,1,1,1,1,1
2018-12-17 03:15:00,1423.162,1,1,1,1,1
2018-12-17 03:20:00,1414.7659999999994,1,1,1,1,1
2018-12-17 03:25:00,1438.5854166666668,1,1,1,1,1
2018-12-17 03:30:00,1430.9191304347823,1,1,1,1,1
2018-12-17 03:35:00,1425.4612500000005,1,1,1,1,1
2018-12-17 03:40:00,1432.85125,1,1,1,1,1
2018-12-17 03:45:00,1415.885416666666,1,1,1,1,1
2018-12-17 03:50:00,1414.8359999999993,1,1,1,1,1
2018-12-17 03:55:00,1430.4521739130435,1,1,1,1,1
2018-12-17 04:00:00,1454.209583333333,1,1,1,1,1
2018-12-17 04:05:00,1438.686956521739,1,1,1,1,1
2018-12-17 04:10:00,1411.8681818181815,1,3,1,1,1
2018-12-17 04:15:00,1413.902,1,1,1,1,1
2018-12-17 04:20:00,1412.9166666666665,1,1,1,1,1
2018-12-17 04:25:00,1400.0320000000006,1,1,1,1,1
2018-12-17 04:30:00,1434.279166666667,1,3,1,1,1
2018-12-17 04:35:00,1421.017272727273,1,1,1,1,1
2018-12-17 04:40:00,1391.2179166666665,1,3,1,1,1
2018-12-17 04:45:00,1390.7104166666668,1,1,1,1,1
2018-12-17 04:50:00,1382.3660869565217,1,1,1,1,1
2018-12-17 04:55:00,1380.280416666667,1,1,1,1,1
2018-12-17 05:00:00,1373.6604761904762,1,1,1,1,1
